tag,arm,N,seed,k_active,U_exact,unique_coverage_rate_per_s,coverage_retention_vs_MT100
primary,E50-PC10,100,5708610443790281403,10,23399999978207051781,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,5708610443790281403,20,46799999956414103553,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,5708610443790281403,30,70199999934621155330,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,5708610443790281403,40,93599999912828207108,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,5708610443790281403,50,116999999891035258882,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,5708610443790281403,60,140399999869242310665,1.4039999986924232e+16,59.999999850518435
primary,E50-PC80,100,5708610443790281403,80,187199999825656414220,1.871999998256564e+16,79.99999980069124
primary,E50-PC100,100,5708610443790281403,100,233999999782070517776,2.3399999978207052e+16,99.99999975086406
primary,E50-CONV100,100,4972874671198070758,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,4972874671198070758,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,4972874671198070758,10,23399999978207051780,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,4972874671198070758,20,46799999956414103551,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,4972874671198070758,30,70199999934621155329,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,4972874671198070758,40,93599999912828207107,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,4972874671198070758,50,116999999891035258878,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,4972874671198070758,60,140399999869242310660,1.4039999986924232e+16,59.999999850518435
primary,E50-PC80,100,4972874671198070758,80,187199999825656414216,1.871999998256564e+16,79.99999980069124
primary,E50-PC100,100,4972874671198070758,100,233999999782070517776,2.3399999978207052e+16,99.99999975086406
primary,E50-CONV100,100,15110839482730944980,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,15110839482730944980,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,15110839482730944980,10,23399999978207051780,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,15110839482730944980,20,46799999956414103552,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,15110839482730944980,30,70199999934621155327,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,15110839482730944980,40,93599999912828207103,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,15110839482730944980,50,116999999891035258876,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,15110839482730944980,60,140399999869242310655,1.4039999986924232e+16,59.999999850518435
